CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),PT08.S1(CO),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Combined_Pollutant,AQI_Category
2.0,112.0,9.4,103.0,92.0,1292.0,955.0,1174.0,1559.0,972.0,13.3,47.7,0.7255,94.0,Hazardous
1.2,38.0,4.7,89.0,96.0,1197.0,750.0,1337.0,1393.0,949.0,11.2,59.2,0.7848,97.2,Hazardous
1.2,31.0,3.6,62.0,77.0,1185.0,690.0,1462.0,1333.0,733.0,11.3,56.8,0.7603,78.2,Hazardous
1.0,31.0,3.3,62.0,76.0,1136.0,672.0,1453.0,1333.0,730.0,10.7,60.0,0.7702,77.0,Hazardous
0.9,24.0,2.3,45.0,60.0,1094.0,609.0,1579.0,1276.0,620.0,10.7,59.7,0.7648,60.9,Hazardous
0.7,8.0,1.1,16.0,28.0,1066.0,512.0,1918.0,1182.0,422.0,11.0,56.2,0.7366,28.7,Very Unhealthy
0.7,16.0,1.6,34.0,48.0,1052.0,553.0,1738.0,1221.0,472.0,10.5,58.1,0.7353,48.7,Hazardous
1.1,29.0,3.2,98.0,82.0,1144.0,667.0,1490.0,1339.0,730.0,10.2,59.6,0.7417,83.1,Hazardous
1.7,77.0,6.3,112.0,98.0,1233.0,827.0,1218.0,1446.0,860.0,10.8,58.4,0.7552,99.7,Hazardous
1.5,43.0,5.0,95.0,92.0,1179.0,762.0,1328.0,1362.0,671.0,10.5,57.9,0.7352,93.5,Hazardous
1.6,61.0,5.2,104.0,95.0,1236.0,774.0,1301.0,1401.0,664.0,9.5,66.8,0.7951,96.6,Hazardous
1.5,61.0,4.7,94.0,85.0,965.0,749.0,1325.0,1333.0,821.0,8.2,63.4,0.6905,86.5,Hazardous
1.0,26.0,2.6,47.0,53.0,913.0,629.0,1565.0,1252.0,552.0,8.2,60.8,0.6657,54.0,Hazardous
1.7,55.0,5.9,122.0,97.0,1080.0,805.0,1254.0,1375.0,816.0,8.3,58.5,0.6438,98.7,Hazardous
1.4,40.0,4.1,82.0,91.0,988.0,718.0,1396.0,1304.0,692.0,7.1,61.8,0.6276,92.4,Hazardous
0.6,7.0,1.0,30.0,44.0,847.0,501.0,1895.0,1155.0,394.0,6.3,65.0,0.6233,44.6,Hazardous
0.8,17.0,1.8,56.0,71.0,927.0,571.0,1685.0,1223.0,487.0,6.8,62.9,0.6234,71.8,Hazardous
1.9,67.0,7.4,139.0,97.0,1196.0,873.0,1071.0,1463.0,1144.0,9.1,63.9,0.7423,98.9,Hazardous
1.6,43.0,5.4,83.0,82.0,1184.0,782.0,1176.0,1365.0,1043.0,8.8,63.9,0.7256,83.6,Hazardous
1.0,30.0,2.6,62.0,65.0,978.0,625.0,1420.0,1274.0,819.0,8.3,63.6,0.6982,66.0,Hazardous
1.2,27.0,2.9,53.0,60.0,1100.0,646.0,1406.0,1268.0,835.0,7.2,67.5,0.6887,61.2,Hazardous
1.5,47.0,5.1,139.0,77.0,1112.0,770.0,1228.0,1409.0,940.0,6.3,71.9,0.6932,78.5,Hazardous
2.7,132.0,11.8,256.0,96.0,1336.0,1043.0,935.0,1678.0,1192.0,6.5,71.6,0.6945,98.7,Hazardous
1.2,32.0,3.7,53.0,70.0,1062.0,691.0,1272.0,1377.0,929.0,11.5,63.1,0.8533,71.2,Hazardous
1.0,29.0,2.5,44.0,63.0,1076.0,618.0,1395.0,1333.0,872.0,11.6,62.2,0.8473,64.0,Hazardous
0.9,27.0,2.4,74.0,67.0,1028.0,615.0,1384.0,1340.0,853.0,10.4,67.6,0.853,67.9,Hazardous
1.4,36.0,4.2,101.0,84.0,1155.0,722.0,1225.0,1414.0,959.0,11.6,62.7,0.853,85.4,Hazardous
1.6,57.0,6.4,118.0,83.0,1235.0,828.0,1055.0,1527.0,1093.0,12.4,60.0,0.8627,84.6,Hazardous
1.8,73.0,6.9,106.0,93.0,1239.0,853.0,1010.0,1543.0,1174.0,14.0,57.0,0.9094,94.8,Hazardous
1.8,66.0,7.0,108.0,88.0,1224.0,855.0,998.0,1566.0,1149.0,13.4,61.3,0.9361,89.8,Hazardous
1.0,39.0,3.9,88.0,74.0,1075.0,703.0,1156.0,1464.0,1010.0,11.9,67.4,0.9375,75.0,Hazardous
1.4,51.0,6.4,138.0,80.0,1157.0,830.0,1030.0,1584.0,1083.0,11.4,70.5,0.9475,81.4,Hazardous
2.2,107.0,9.7,228.0,89.0,1314.0,966.0,897.0,1710.0,1235.0,11.3,70.2,0.9401,91.2,Hazardous
1.2,49.0,5.4,79.0,88.0,1074.0,784.0,1098.0,1483.0,1040.0,14.8,60.6,1.0148,89.2,Hazardous
0.8,29.0,2.8,43.0,61.0,968.0,640.0,1320.0,1386.0,867.0,14.8,59.2,0.9879,61.8,Hazardous
0.6,17.0,2.0,38.0,52.0,937.0,585.0,1412.0,1348.0,793.0,12.8,63.2,0.9283,52.6,Hazardous
0.9,27.0,3.5,82.0,64.0,1017.0,681.0,1246.0,1418.0,870.0,11.2,68.5,0.9081,64.9,Hazardous
1.3,50.0,5.1,99.0,70.0,1171.0,770.0,1162.0,1467.0,930.0,11.0,66.5,0.8705,71.3,Hazardous
3.7,285.0,19.7,229.0,95.0,1539.0,1287.0,698.0,2055.0,1507.0,13.6,56.3,0.8743,98.7,Hazardous
1.2,47.0,5.4,95.0,90.0,1072.0,784.0,1066.0,1442.0,1114.0,15.5,51.9,0.9059,91.2,Hazardous
0.9,34.0,4.1,70.0,79.0,998.0,714.0,1169.0,1383.0,992.0,14.1,55.6,0.891,79.9,Hazardous
0.5,11.0,1.6,28.0,40.0,869.0,554.0,1460.0,1268.0,667.0,11.8,58.0,0.8026,40.5,Hazardous
0.5,18.0,1.9,46.0,53.0,891.0,576.0,1417.0,1289.0,733.0,11.9,57.4,0.7978,53.5,Hazardous
1.6,84.0,7.5,160.0,84.0,1173.0,878.0,1038.0,1556.0,1052.0,9.9,65.2,0.7956,85.6,Hazardous
1.0,44.0,5.5,61.0,88.0,1064.0,787.0,1057.0,1407.0,1115.0,14.8,52.1,0.8686,89.0,Hazardous
0.6,20.0,2.5,37.0,57.0,931.0,623.0,1293.0,1307.0,828.0,12.0,58.9,0.8233,57.6,Hazardous
0.7,26.0,3.0,68.0,71.0,938.0,650.0,1251.0,1333.0,893.0,10.9,62.1,0.8113,71.7,Hazardous
1.5,78.0,7.7,139.0,85.0,1166.0,885.0,1005.0,1551.0,1075.0,10.6,63.3,0.8067,86.5,Hazardous
1.6,-200.0,6.6,103.0,96.0,1134.0,840.0,1021.0,1501.0,917.0,11.9,71.1,0.9915,97.6,Hazardous
0.9,-200.0,3.6,48.0,63.0,999.0,688.0,1229.0,1380.0,594.0,12.5,69.3,1.0029,63.9,Hazardous
0.5,-200.0,1.3,18.0,28.0,913.0,525.0,1620.0,1260.0,370.0,12.5,66.8,0.962,28.5,Very Unhealthy
0.7,-200.0,2.3,56.0,61.0,969.0,607.0,1373.0,1324.0,438.0,12.3,66.3,0.9487,61.7,Hazardous
1.7,-200.0,5.8,104.0,92.0,1127.0,802.0,1064.0,1447.0,837.0,13.8,57.9,0.9085,93.7,Hazardous
1.6,-200.0,5.2,86.0,83.0,1090.0,773.0,1105.0,1429.0,761.0,13.9,55.9,0.8842,84.6,Hazardous
1.3,-200.0,4.1,74.0,81.0,1017.0,718.0,1182.0,1382.0,650.0,13.9,55.6,0.8765,82.3,Hazardous
0.8,-200.0,3.1,42.0,53.0,956.0,661.0,1260.0,1351.0,518.0,13.6,55.1,0.856,53.8,Hazardous
0.8,-200.0,2.5,63.0,67.0,966.0,622.0,1317.0,1342.0,571.0,13.6,59.0,0.9129,67.8,Hazardous
1.1,-200.0,4.3,115.0,91.0,1064.0,728.0,1161.0,1461.0,842.0,13.5,58.4,0.896,92.1,Hazardous
2.1,-200.0,9.3,125.0,93.0,1376.0,953.0,900.0,1636.0,1153.0,19.0,42.9,0.937,95.1,Hazardous
1.7,-200.0,7.6,95.0,87.0,1305.0,884.0,980.0,1573.0,927.0,19.5,42.3,0.9476,88.7,Hazardous
1.6,-200.0,6.7,79.0,76.0,1283.0,844.0,1036.0,1539.0,766.0,19.5,42.3,0.9493,77.6,Hazardous
2.1,-200.0,9.7,119.0,94.0,1392.0,967.0,930.0,1649.0,941.0,19.1,43.8,0.9556,96.1,Hazardous
2.1,-200.0,8.9,122.0,97.0,1309.0,937.0,905.0,1672.0,1036.0,15.9,57.7,1.0356,99.1,Hazardous
2.1,-200.0,7.4,133.0,90.0,1300.0,872.0,941.0,1577.0,1054.0,15.1,60.9,1.0398,92.1,Hazardous
